testa_id,label
testa_0,1
testa_1,0
testa_2,2
testa_3,2
testa_4,1
testa_5,2
testa_6,1
testa_7,1
testa_8,0
testa_9,2
testa_10,2
testa_11,2
testa_12,1
testa_13,1
testa_14,1
testa_15,1
testa_16,0
testa_17,1
testa_18,1
testa_19,1
testa_20,1
testa_21,1
testa_22,0
testa_23,0
testa_24,0
testa_25,1
testa_26,0
testa_27,2
testa_28,2
testa_29,0
testa_30,1
testa_31,1
testa_32,1
testa_33,0
testa_34,2
testa_35,0
testa_36,1
testa_37,1
testa_38,2
testa_39,1
testa_40,2
testa_41,1
testa_42,1
testa_43,2
testa_44,0
testa_45,2
testa_46,1
testa_47,0
testa_48,1
testa_49,0
testa_50,0
testa_51,1
testa_52,2
testa_53,2
testa_54,0
testa_55,0
testa_56,1
testa_57,2
testa_58,1
testa_59,1
testa_60,0
testa_61,0
testa_62,2
testa_63,1
testa_64,2
testa_65,1
testa_66,1
testa_67,2
testa_68,0
testa_69,1
testa_70,2
testa_71,0
testa_72,2
testa_73,2
testa_74,0
testa_75,1
testa_76,1
testa_77,1
testa_78,1
testa_79,2
testa_80,0
testa_81,1
testa_82,2
testa_83,2
testa_84,1
testa_85,1
testa_86,1
testa_87,1
testa_88,1
testa_89,2
testa_90,0
testa_91,2
testa_92,1
testa_93,0
testa_94,0
testa_95,2
testa_96,2
testa_97,1
testa_98,1
testa_99,1
testa_100,0
testa_101,2
testa_102,2
testa_103,0
testa_104,0
testa_105,2
testa_106,1
testa_107,2
testa_108,1
testa_109,1
testa_110,1
testa_111,2
testa_112,0
testa_113,1
testa_114,1
testa_115,1
testb_0,1
testb_1,2
testb_2,1
testb_3,1
testb_4,1
testb_5,1
testb_6,1
testb_7,1
testb_8,1
testb_9,0
testb_10,1
testb_11,1
testb_12,1
testb_13,1
testb_14,0
testb_15,1
testb_16,2
testb_17,1
testb_18,1
testb_19,1
testb_20,1
testb_21,0
testb_22,1
testb_23,1
testb_24,0
testb_25,2
testb_26,1
testb_27,1
testb_28,1
testb_29,0
testb_30,1
testb_31,2
testb_32,1
testb_33,2
testb_34,1
testb_35,1
testb_36,1
testb_37,1
testb_38,1
testb_39,0
testb_40,0
testb_41,1
testb_42,1
testb_43,2
testb_44,2
testb_45,1
testb_46,1
testb_47,2
testb_48,1
testb_49,0
testb_50,1
testb_51,1
testb_52,0
testb_53,2
testb_54,2
testb_55,1
testb_56,1
testb_57,1
testb_58,0
testb_59,0
testb_60,1
testb_61,2
testb_62,1
testb_63,1
testb_64,0
testb_65,2
testb_66,0
testb_67,0
testb_68,1
testb_69,2
testb_70,1
testb_71,1
testb_72,1
testb_73,1
testb_74,1
testb_75,1
testb_76,1
testb_77,0
testb_78,1
testb_79,2
testb_80,1
testb_81,0
testb_82,1
testb_83,1
testb_84,1
testb_85,1
testb_86,1
testb_87,1
testb_88,2
testb_89,0
testb_90,2
testb_91,1
testb_92,1
testb_93,1
testb_94,1
testb_95,2
testb_96,1
testb_97,1
testb_98,2
testb_99,1
testb_100,1
testb_101,1
testb_102,1
testb_103,0
testb_104,0
testb_105,2
testb_106,2
testb_107,1
testb_108,1
testb_109,2
testb_110,2
testb_111,2
testb_112,0
testb_113,1
testb_114,2
testb_115,2
